date,open,high,low,close
08/06/2016,2253.3,2235.4,2256.6,2247.7
09/06/2016,2252.6,2236.5,2259.2,2249.5
10/06/2016,2253.2,2236,2269.3,2267
13/06/2016,2273.4,2265.9,2297.4,2290.8
14/06/2016,2291.9,2282,2301.5,2296
15/06/2016,2296.6,2289.4,2311.9,2308.7
16/06/2016,2305,2204.7,2311.8,2277.8
17/06/2016,2281,2256.8,2293,2274.2
20/06/2016,2259.8,2247.9,2266.1,2252.7
21/06/2016,2252.9,2232.8,2259.1,2257.1
22/06/2016,2260.6,2250.5,2272.9,2269.5
23/06/2016,2265.6,2245.3,2273.2,2269.2
24/06/2016,2315.9,2290.1,2337,2327.3
27/06/2016,2339.6,2334.7,2382.3,2368
28/06/2016,2361.1,2355.7,2379.3,2370.9
29/06/2016,2368.8,2342,2374,2361.3
30/06/2016,2361,2338.7,2370.7,2355.6
01/07/2016,2359.9,2349.8,2377.6,2377.3
04/07/2016,2376.7,2370.6,2399.9,2385.7
05/07/2016,2390.3,2388.3,2457.6,2453.6
06/07/2016,2464.2,2461.2,2497.6,2492.1
07/07/2016,2494.9,2473.1,2515.6,2513.6
08/07/2016,2514.2,2499,2520.2,2502.2
11/07/2016,2499,2496,2518.1,2496.5
12/07/2016,2485.2,2465.6,2488.7,2467.6
13/07/2016,2468.8,2468.8,2491.5,2489.4
14/07/2016,2484.6,2462.5,2491.1,2477.3
15/07/2016,2470.7,2441.4,2485.4,2452.4
18/07/2016,2463.8,2442.8,2466.7,2464.3
19/07/2016,2464.6,2428.4,2472.8,2428.5
20/07/2016,2429.8,2406.7,2443.6,2406.7
21/07/2016,2404.1,2347.5,2404.1,2355.5
22/07/2016,2347.9,2347.5,2415.1,2377.5
25/07/2016,2370.7,2330.7,2383.1,2331.4
26/07/2016,2337.4,2321.1,2350.5,2329.1
27/07/2016,2327.9,2322,2348.8,2336.3
28/07/2016,2341.7,2310.8,2346.5,2318.8
29/07/2016,2316.4,2281.7,2321.7,2282.8
01/08/2016,2287.3,2275.8,2351.1,2343
02/08/2016,2335.1,2299.3,2361.2,2301.1
03/08/2016,2299,2290.4,2364.6,2359.6
04/08/2016,2354.2,2343.1,2388.1,2385.1
05/08/2016,2388.9,2379.8,2416.9,2402.2
08/08/2016,2399.5,2385.3,2410.3,2386.3
09/08/2016,2390,2369.5,2407.4,2372.5
10/08/2016,2376.5,2350.2,2413.6,2403.9
11/08/2016,2406.8,2383.1,2407.8,2397.1
12/08/2016,2387.9,2382.3,2406.6,2399.3
15/08/2016,2402.6,2401.9,2442,2437.8
16/08/2016,2449,2428.5,2455.6,2455.1
17/08/2016,2453.2,2440.2,2468.2,2465.9
18/08/2016,2466.8,2452,2479.3,2474.7
19/08/2016,2470.1,2448.6,2479.6,2461.8
22/08/2016,2451.2,2374.6,2459.5,2377.9
23/08/2016,2394.1,2353.3,2410.6,2402.2
24/08/2016,2405.1,2361.5,2424.3,2386.2
25/08/2016,2381.9,2375.1,2411.1,2389.3
26/08/2016,2392.8,2370.3,2403.4,2387.1
30/08/2016,2346.4,2313,2366.5,2318.4
31/08/2016,2319.6,2296.2,2330.5,2318.2
01/09/2016,2317.4,2276.4,2317.4,2277.4
02/09/2016,2278.4,2270.5,2290.2,2276.1
05/09/2016,2273.6,2264.4,2279.7,2275
06/09/2016,2273.4,2248.8,2286.3,2266.8
07/09/2016,2269.1,2256.3,2296.1,2270.8
08/09/2016,2263.4,2250,2274.8,2261.6
09/09/2016,2225.8,2176.6,2247.3,2183.5
12/09/2016,2185.3,2158.2,2204.2,2203.1
13/09/2016,2194.1,2187.1,2220.8,2215.9
14/09/2016,2230,2224.9,2243.5,2233
15/09/2016,2234.8,2228.2,2250.1,2248.6
16/09/2016,2255.1,2235.1,2261.1,2245
19/09/2016,2249.8,2249.8,2302.4,2290.5
20/09/2016,2285.1,2281.5,2312.9,2297.8
21/09/2016,2294.3,2289.4,2309.3,2302.3
22/09/2016,2294.8,2292.8,2328.5,2313.6
23/09/2016,2316.1,2250,2327.3,2283.3
26/09/2016,2276.5,2251,2278.5,2265.2
27/09/2016,2264.3,2257.8,2281.4,2275.6
28/09/2016,2271.2,2231.6,2278,2250.7
29/09/2016,2243,2184.3,2252,2199.9
30/09/2016,2197.3,2181.1,2215.6,2212.4
03/10/2016,2223.4,2207.8,2253.5,2250.7
04/10/2016,2242.2,2238.6,2277.7,2276.4
05/10/2016,2274.9,2268.9,2292.8,2288.5
06/10/2016,2283.4,2242.6,2286.6,2260.4
07/10/2016,2276.4,2270,2302.2,2295.6
10/10/2016,2288.3,2184.7,2301.9,2209.7
11/10/2016,2223.9,2206.2,2232.8,2228.3
12/10/2016,2233.7,2197.7,2238,2212.4
13/10/2016,2218.9,2207.7,2236.5,2232.3
14/10/2016,2229.7,2228.9,2257,2247.5
17/10/2016,2237.3,2197.1,2239.4,2224
18/10/2016,2215.4,2188.6,2230.9,2200.8
19/10/2016,2196.1,2193.8,2215.6,2213.8
20/10/2016,2214.1,2194.8,2233.6,2214.7
21/10/2016,2207.1,2188.8,2221,2212.6
24/10/2016,2208.5,2187.4,2210.8,2205.8
25/10/2016,2208.4,2203.4,2235.6,2231.5
26/10/2016,2231.9,2222.7,2240.5,2240.5
27/10/2016,2234.4,2216.8,2241.9,2231.6
28/10/2016,2234.5,2216.8,2242.3,2238.7
31/10/2016,2239.5,2213.7,2241.4,2223.9
01/11/2016,2221.8,2194.2,2222.1,2195.2
02/11/2016,2199.5,2179.4,2200.4,2195.5
03/11/2016,2191.8,2156.8,2198.8,2166.9
04/11/2016,2157.9,2062.8,2160.5,2082.2
07/11/2016,2089.4,2023,2096.6,2032.1
08/11/2016,2039.3,2030.2,2058.7,2053.2
09/11/2016,2031.5,2027.5,2048,2032.5
10/11/2016,2035.9,2010.4,2043.1,2027.1
11/11/2016,2028,2013,2040.8,2037.3
14/11/2016,2035.9,2005.1,2042.4,2006
15/11/2016,2008.7,1985.6,2009.1,1999.6
16/11/2016,1995.3,1988.8,2015,2010.1
17/11/2016,2004.8,1957.4,2011.5,2010.5
18/11/2016,2004.2,1996.3,2027.1,2023
21/11/2016,2021.3,1996.8,2023.8,2003.8
22/11/2016,2004.5,1995.6,2026,2017.5
23/11/2016,2016.6,1999.3,2024,2018.3
24/11/2016,2013.8,2000.2,2013.8,2006.1
25/11/2016,2008.5,1981.1,2013.7,1995.2
28/11/2016,1997.8,1977.7,2001.5,1985.2
29/11/2016,1979.3,1954.5,1980.9,1968.3
30/11/2016,1973.5,1940.8,1974.9,1954.6
01/12/2016,1951.6,1943.9,1959.7,1949.4
02/12/2016,1943.9,1907.9,1944.5,1920.7
05/12/2016,1919.7,1874.3,1920.7,1892.3
06/12/2016,1883.5,1835.7,1883.6,1865.5
07/12/2016,1867.1,1832.3,1867.5,1854.9
08/12/2016,1856.8,1814,1868.4,1818.5
09/12/2016,1815.5,1741,1815.7,1746
12/12/2016,1752.1,1710.7,1784.3,1775.8
13/12/2016,1795,1770.6,1816.6,1813.1
14/12/2016,1811.6,1790.2,1841.2,1828.1
15/12/2016,1832.2,1800.2,1842.2,1822.2
16/12/2016,1809.2,1772.3,1823.3,1815.2
19/12/2016,1822.2,1822.2,1866,1860
20/12/2016,1856,1835.2,1863.2,1840.2
21/12/2016,1848.2,1836.4,1859.8,1851.1
22/12/2016,1845.2,1799,1851.2,1799.6
23/12/2016,1802.6,1788.6,1815.2,1810.6
28/12/2016,1828.8,1785.8,1830.7,1802.1
29/12/2016,1804.7,1760.6,1807.2,1763.9
30/12/2016,1756.8,1726.5,1779.6,1734.6
03/01/2017,1738,1727.1,1765.1,1759.1
04/01/2017,1760.1,1756.6,1813.4,1808.2
05/01/2017,1804.3,1787.3,1813.4,1812.4
06/01/2017,1807.5,1807.5,1850.2,1822.5
09/01/2017,1818.7,1756.2,1818.7,1783.3
10/01/2017,1778.9,1766.6,1803.5,1803.2
11/01/2017,1799.4,1748.4,1807.8,1751.4
12/01/2017,1757.6,1752.9,1817,1813
13/01/2017,1808.2,1791.3,1815.3,1798.5
16/01/2017,1801.3,1785.9,1803.3,1798.7
17/01/2017,1782.7,1768.9,1800.9,1797.7
18/01/2017,1808.9,1790.9,1825.1,1803.9
19/01/2017,1801.2,1760.3,1819.1,1761.3
20/01/2017,1761.7,1743.3,1768.5,1753.5
23/01/2017,1752.7,1741.9,1769.6,1753.9
24/01/2017,1758.5,1748.8,1776.2,1765.4
25/01/2017,1769.6,1744.3,1777.8,1755.6
26/01/2017,1755,1724.1,1755.5,1728.2
27/01/2017,1711,1690.8,1720.1,1703.9
30/01/2017,1702.6,1692.4,1711.6,1693.6
31/01/2017,1700.3,1692.2,1726.4,1693.4
01/02/2017,1694.6,1686.2,1716,1694.6
02/02/2017,1693.2,1671.5,1699.4,1694.9
03/02/2017,1691.3,1677.2,1700,1691.2
06/02/2017,1691.9,1677.1,1708.6,1679.4
07/02/2017,1680.5,1643.5,1686.1,1643.5
08/02/2017,1641.2,1622.9,1650.9,1633.2
09/02/2017,1627,1625.1,1649.3,1625.6
10/02/2017,1626,1602.1,1628.7,1603.7
13/02/2017,1600.7,1565.8,1603.4,1566.5
14/02/2017,1564.9,1533.9,1582.2,1546.1
15/02/2017,1555,1545.3,1611.7,1611.7
16/02/2017,1610.4,1601.8,1648.8,1648.5
17/02/2017,1657.3,1615.7,1668.6,1622
20/02/2017,1615.5,1597.1,1617.2,1605.6
21/02/2017,1606.8,1590.5,1618,1610.9
22/02/2017,1617.9,1600.8,1623,1604
23/02/2017,1605.6,1602.5,1634.7,1625.8
24/02/2017,1622.9,1594.6,1626.5,1598.9
27/02/2017,1591.8,1577.5,1610.7,1586.7
28/02/2017,1584.8,1539.7,1590.3,1540.5
01/03/2017,1543.2,1531.5,1557.8,1539.1
02/03/2017,1544.7,1528.8,1584.2,1574.3
03/03/2017,1564.8,1561.2,1613.4,1599.6
06/03/2017,1611.5,1576.7,1613.1,1584.6
07/03/2017,1586.1,1564.3,1596,1581.6
